time	             src-ip	          src-pt	          dst-ip	          dst-pt	        flags	   seq  	     ack-pkt	   s-win	19	20	21	dloss	dd	13	14	15	16	spkts	dpkts	sloss	  label                 
4	8	9	10	11	12	13	14	15	0.058708415	0.062622309	0	29	30	0	0.000184604	0	0	26	27	28	0
10	1	0	0	0	0	0	0	0	0.401174168	0.023483366	0	1	1	0	0.000184604	0	0	0	0.09	1	1
19	0	0	0	0	0	0	0	0	0.017612524	0.019569472	0	0.047058824	0.05	0	0.000184604	0	0.000739098	0.06	0	1	0
20	1	0	0	0	0	0	0	0	0.436399217	0.045009785	1	1	1	0	0.000184604	0	0	0	0.2	0.615686275	1
21	0	0	0	0	0	0	0	0	0.547945205	0.033268102	1	0.090196078	0.09	0	0.000184604	0	0.000739098	0.05	0	1	1
27	0	0	0	0	0	0	0	0	0.009784736	0.043052838	0	0.066666667	0.07	0	0.000184604	0	0.000739098	0.05	0	0.933333333	0
37	1	0	0	0	0	0	0	0	0.401174168	0.033268102	1	1	1	0	0.000184604	0	0.000739098	0	0.18	0.168627451	1
38	0	0	0	0	0	0	0	0	0.043052838	0.054794521	0	0.066666667	0.07	0	0	0	0.000739098	0.06	0	1	0
51	1	0	0	0	0	0	0	0	0.119373777	0.007827789	0	1	1	0	0	0	0	0	0.14	1	1
58	0	0	0	0	0	0	0	0	0.046966732	0.023483366	1	0.015686275	0.02	0	0	0	0	0.1	0	1	1
60	0	0	0	0	0	0	0	0	0.003913894	0.003913894	0	0.231372549	0.23	0	0.000184604	0	0.000739098	0.08	0	1	0
75	1	0	0	0	0	0	0	0	0.001956947	0.001956947	0	0.188235294	0.25	0	0.000184604	0	0	0	0	0.68627451	0
77	1	0	0	0	0	0	0	0	0.019569472	0.052837573	0	0.184313725	0.55	0	0.000184604	0	0.000739098	0	0	0.17254902	0
80	1	0	0	0	0	0	0	0	0.003913894	0.060665362	0	1	1	0	0.000184604	0	0.000739098	0	0.11	0.188235294	0
94	1	0	0	0	0	0	0	0	0.587084149	0.011741683	1	1	1	0	0.000184604	0	0.000739098	0	0.1	0.094117647	1
97	0	0	0	0	0	0	0	0	0.007827789	0.009784736	0	0.011764706	0.01	0	0.000184604	0	0.000739098	0.06	0	1	0
103	1	0	0	0	0	0	0	0	0.005870841	0.005870841	0	1	1	0	0.000184604	0	0.000739098	0	0.4	0.015686275	0
107	1	0	0	0	0	0	0	0	0.003913894	0.005870841	0	1	1	0	0.000184604	0	0.000739098	0	0	0.6	0
116	1	0	0	0	0	0	0	0	0.215264188	0.033268102	0	1	1	0	0.000184604	0	0.000739098	0	0.67	0.039215686	1
118	0	0	0	0	0	0	0	0	0.011741683	0.011741683	0	0.066666667	0.07	0	0.000184604	0	0.000739098	0.05	0	1	0
120	1	0	0	0	0	0	0	0	0.481409002	0.039138943	0	1	1	0	0.000184604	0	0.000739098	0	0	0.023529412	1
122	0	0	0	0	0	0	0	0	0.506849315	0.015655577	1	0.078431373	0.08	0	0.000184604	0	0.007760532	0.07	0	1	1
125	0	0	0	0	0	0	0	0	0.001956947	0.001956947	0	0.031372549	0.03	0	0.000184604	0	0.007760532	0.07	0	1	0
126	0	0	0	0	0	0	0	0	0.187866928	0.348336595	0	0.039215686	0.03	0	0.000184604	0	0.007760532	0	0	0.764705882	0
132	0	0	0	0	0	0	0	0	0.003913894	0.003913894	0	0.996078431	1	0	0.000184604	0	0.000739098	0	0.02	1	0
133	1	0	0	0	0	0	0	0	0.001956947	0.001956947	0	0.007843137	1	0	0.000184604	0	0.000739098	0	0	0.007843137	0
134	1	0	0	0	0	0	0	0	0.240704501	0.01369863	1	1	1	0	0.001661436	0.002040816	0.007021434	0	0	0.019607843	1
138	0	0	0	0	0	0	0	0	0.514677104	0.514677104	0	0.02745098	0.03	0	0.001661436	0.002721088	0.007021434	0.06	0	1	1
143	0	0	0	0	0	0	0	0	0.015655577	0.015655577	0	1	1	0	0.002399852	0.002721088	0.007021434	0	0	1	0
144	1	0	0	0	0	0	0	0	0.003913894	0.005870841	0	1	1	0	0.000184604	0	0.007021434	0	0	0.423529412	0
147	1	0	0	0	0	0	0	0	0.005870841	0.005870841	0	0.321568627	1	0	0.001661436	0.002721088	0.007021434	0	0.67	0.196078431	0
160	1	0	0	0	0	0	0	0	0.007827789	0.007827789	0	0.505882353	1	0	0.001661436	0.002040816	0.007021434	0	0	0.121568627	0
161	1	0	0	0	0	0	0	0	0.003913894	0.003913894	0	1	1	0	0.000184604	0	0.000739098	0	0	0.325490196	0
173	1	0	0	0	0	0	0	0	0.532289628	0.029354207	0	0.466666667	0.5	0	0.000184604	0	0.006282336	0	0	0.725490196	1
175	0	0	0	0	0	0	0	0	0.561643836	0.005870841	1	0.058823529	0.06	0	0.001661436	0.003401361	0.006282336	0.06	0	1	1
178	0	0	0	0	0	0	0	0	0.043052838	0.011741683	0	0.011764706	0.01	0	0.000184604	0	0.006282336	0.05	0	1	1
183	0	0	0	0	0	0	0	0	0.001956947	0.001956947	0	0.023529412	0.02	0	0.001661436	0.002040816	0.006282336	0.09	0	1	0
190	1	0	0	0	0	0	0	0	0.001956947	0.003913894	0	0.270588235	0.36	0	0.001661436	0.002721088	0.006282336	0	0	0.639215686	1
193	1	0	0	0	0	0	0	0	0.436399217	0.033268102	1	0.556862745	0.56	0	0.001661436	0.002721088	0.000739098	0	1	1	1
195	0	0	0	0	0	0	0	0	0.007827789	0.01369863	0	0.066666667	0.07	0	0.001661436	0.002040816	0.005543237	0.06	0	1	0
197	1	0	0	0	0	0	0	0	0.009784736	0.011741683	0	0.109803922	1	0	0.001661436	0.002040816	0.005543237	0	0.29	0.043137255	0
203	1	0	0	0	0	0	0	0	0.001956947	0.001956947	0	0.203921569	1	0	0.001661436	0.003401361	0.000739098	0	0.33	0.160784314	0
204	1	0	0	0	0	0	0	0	0.001956947	0.001956947	0	0.078431373	0.08	0	0.001661436	0.002040816	0.004804139	0	0	1	0
205	1	0	0	0	0	0	0	0	0.003913894	0.001956947	0	0.650980392	0.63	0	0.001661436	0.002721088	0.004804139	0	0	0.839215686	0
209	1	0	0	0	0	0	0	0	0.242661448	0.037181996	1	0.407843137	0.71	0	0.003876685	0	0.004804139	1	0	0.109803922	1
211	0	0	0	0	0	0	0	0	0.003913894	0.007827789	0	0.074509804	0.07	0	0.003876685	0	0.004804139	0.05	0	1	1
213	0	0	0	0	0	0	0	0	0.007827789	0.007827789	0	0.149019608	1	0	0.003876685	0	0.004804139	0	0.5	0.007843137	0
226	1	0	0	0	0	0	0	0	0.062622309	0.066536204	0	1	1	0	0.001661436	0.002721088	0.000739098	0	0	1	0
227	1	0	0	0	0	0	0	0	0.244618395	0.046966732	1	1	1	0	0.003507476	0	0.004804139	0	0.09	0.396078431	1
238	0	0	0	0	0	0	0	0	0.001956947	0.001956947	0	0.094117647	0.09	0	0.003507476	0	0.004804139	0.05	0	1	0
258	0	0	0	0	0	0	0	0	0.001956947	0.001956947	0	0.047058824	0.05	0	0.003507476	0	0.004804139	0	0	0.921568627	1
270	0	0	0	0	0	0	0	0	0.005870841	0.005870841	0	0.003921569	0	0	0.003507476	0	0.004065041	0	0	1	0
272	1	0	0	0	0	0	0	0	0.001956947	0.001956947	0	1	1	0	0.003507476	0	0.004065041	0	0	1	0
273	0	0	0	0	0	0	0	0	0.283757339	0.440313112	0	1	1	0	0.001661436	0.002721088	0.004065041	0	0	0.02745098	0
274	0	0	0	0	0	0	0	0	0.001956947	0.001956947	0	1	1	0	0.003138268	0	0.004065041	0	0.01	1	0
282	1	0	0	0	0	0	0	0	0.003913894	0.003913894	0	1	1	0	0.003138268	0	0.000739098	0	0	0.003921569	0
283	1	0	0	0	0	0	0	0	0.058708415	0.060665362	0	0.345098039	0.36	0	0.003138268	0	0.003325942	0	0	0.043137255	0
286	1	0	0	0	0	0	0	0	0.587084149	0.01369863	1	1	1	0	0.002030644	0.002721088	0.003325942	0	0.06	0.301960784	1
288	0	0	0	0	0	0	0	0	0.029354207	0.029354207	0	0.02745098	0.03	0	0.003138268	0	0.000739098	0.06	0	1	0
291	1	0	0	0	0	0	0	0	0.281800391	0.029354207	1	1	1	0	0.00276906	0	0.000739098	0	0	1	1
300	0	0	0	0	0	0	0	0	0.001956947	0.001956947	0	0.117647059	0.12	0	0.00276906	0	0.003325942	0.06	0	1	0
305	0	0	0	0	0	0	0	0	0.001956947	0.068493151	0	0.149019608	0.25	0	0.00276906	0	0.003325942	0	0	0.207843137	1
323	0	0	0	0	0	0	0	0	0.350293542	0.003913894	1	0.239215686	1	0	0.001661436	0.002040816	0.002586844	0	1	0.003921569	1
327	0	0	0	0	0	0	0	0	0.043052838	0.043052838	0	0.019607843	0.02	0	0.002399852	0	0.002586844	0.06	0	1	0
334	1	0	0	0	0	0	0	0	0.508806262	0.017612524	1	1	1	0	0.002399852	0	0.000739098	0	0	1	1
347	0	0	0	0	0	0	0	0	0.001956947	0.001956947	0	0.02745098	0.03	0	0.002399852	0	0.002586844	0.07	0	1	0
354	0	0	0	0	0	0	0	0	0.831702544	0.001956947	0.08	0.149019608	1	0	0.002399852	0	0.002586844	0	0	0.031372549	1
374	0	0	0	0	0	0	0	0	0.009784736	0.009784736	0	0.003921569	0	0	0.002399852	0	0.000739098	1	0	1	0
375	1	0	0	0	0	0	0	0	0.217221135	0.011741683	1	1	1	0	0.001661436	0.002721088	0.001847746	0	0	0.733333333	1
378	0	0	0	0	0	0	0	0	0.003913894	0.007827789	0	0.023529412	0.02	0	0.001661436	0.002721088	0.000739098	0.07	0	1	0
380	0	0	0	0	0	0	0	0	0.238747554	0.367906067	0	0.670588235	1	0	0.002399852	0	0.001847746	0	0.75	0.262745098	0
382	0	0	0	0	0	0	0	0	0.001956947	0.001956947	0	1	1	0	0.002399852	0	0.001847746	0	0.01	1	0
384	0	0	0	0	0	0	0	0	0.279843444	0.037181996	1	0.215686275	1	0	0.002399852	0	0.001847746	0	0	0.023529412	1
389	0	0	0	0	0	0	0	0	0.001956947	0.001956947	0	0.015686275	0.02	0	0.002399852	0	0.000739098	0.06	0	1	0
394	1	0	0	0	0	0	0	0	0.463796477	0.029354207	1	0.407843137	0.44	0	0.002030644	0.003401361	0.001847746	0	0	0.494117647	1
395	0	0	0	0	0	0	0	0	0.258317025	0.029354207	1	0.003921569	0	0	0.002030644	0	0.001847746	0.07	0	1	1
408	0	0	0	0	0	0	0	0	0.502935421	0.037181996	1	0.062745098	0.06	0	0.002030644	0	0.001108647	0.06	0	1	1
414	0	0	0	0	0	0	0	0	0.258317025	0.005870841	1	0.007843137	0.01	0	0.002030644	0	0.001108647	0.05	0	1	1
420	0	0	0	0	0	0	0	0	0.02739726	0.031311155	0	0.054901961	0.05	0	0.002030644	0	0.001108647	0.06	0	1	0
425	1	0	0	0	0	0	0	0	0.003913894	0.003913894	0	1	1	0	0.002030644	0	0.001108647	0	0.12	0.054901961	0
433	1	0	0	0	0	0	0	0	0.019569472	0.035225049	0	1	1	0	0.001661436	0.002040816	0.001108647	0	0	1	0
447	1	0	0	0	0	0	0	0	0.133072407	0.133072407	0	1	1	0	0.001661436	0	0.001108647	0	0.17	0.474509804	1
448	0	0	0	0	0	0	0	0	0.258317025	0.01369863	1	0.266666667	0.27	0	0.001661436	0.003401361	0.000739098	0	0	1	1
454	0	0	0	0	0	0	0	0	0.53816047	0.029354207	1	0.02745098	0.03	0	0.001661436	0	0.001108647	0.06	0	1	1
457	0	0	0	0	0	0	0	0	0.023483366	0.023483366	0	0.058823529	0.06	0	0.001661436	0.002721088	0.000739098	0.06	0	1	0
